animate?, num_of_agents, neighbourhood, num_of_iterations, time, system, machine

DON'T ANIMATE,10,10,10000,0.3970753,Windows10,AMD64

DON'T ANIMATE,1,1,1,0.36202120000000004,Windows10,AMD64

ANIMATE,10,10,10,11.535332,Windows10,AMD64

DON'T ANIMATE,10,10,100,0.3785506999999999,Windows10,AMD64

DON'T ANIMATE,10,10,1000,0.3192798000000001,Windows10,AMD64

DON'T ANIMATE,10,10,10000,0.43744530000000004,Windows10,AMD64

DON'T ANIMATE,10,10,100000,0.3579234,Windows10,AMD64


DON'T ANIMATE,10,10,10000,0.37932389999999994,Windows10,AMD64
